"name","info","season","club","nation.","pos.","df_value","pass","app","avg_pass","avg_df_value","df_stats"
" Aaron Cresswell","England","2014/15"," West Ham United  "," England","DF",29,1348,38,35.4736842105263,0.763157894736842,"Tackled"
" Aaron Cresswell","England","2015/16"," West Ham United  "," England","DF",18,1377,37,37.2162162162162,0.486486486486487,"Tackled"
" Aaron Hughes","Northern Ireland","2007/08","  - "," Northern Ireland","DF",5,640,30,21.3333333333333,0.166666666666667,"Tackled"
" Aaron Hughes","Northern Ireland","2008/09","  - "," Northern Ireland","DF",4,1012,38,26.6315789473684,0.105263157894737,"Tackled"
" Aaron Hughes","Northern Ireland","2009/10","  - "," Northern Ireland","DF",1,1268,34,37.2941176470588,0.0294117647058824,"Tackled"
" Aaron Hughes","Northern Ireland","2010/11","  - "," Northern Ireland","DF",6,1388,38,36.5263157894737,0.157894736842105,"Tackled"
" Aaron Hughes","Northern Ireland","2011/12","  - "," Northern Ireland","DF",3,828,19,43.5789473684211,0.157894736842105,"Tackled"
" Aaron Hughes","Northern Ireland","2012/13","  - "," Northern Ireland","DF",5,1049,24,43.7083333333333,0.208333333333333,"Tackled"
" Aaron Hughes","Northern Ireland","2013/14","  - "," Northern Ireland","DF",1,413,13,31.7692307692308,0.0769230769230769,"Tackled"
" Aaron Hughes","Northern Ireland","2006/07","  - "," Northern Ireland","DF",NA,437,19,23,NA,"Tackled"
" Abdoulaye Faye","Senegal","2007/08","  - "," Senegal","DF",8,564,23,24.5217391304348,0.347826086956522,"Tackled"
" Abdoulaye Faye","Senegal","2008/09","  - "," Senegal","DF",19,686,36,19.0555555555556,0.527777777777778,"Tackled"
" Abdoulaye Faye","Senegal","2009/10","  - "," Senegal","DF",8,451,31,14.5483870967742,0.258064516129032,"Tackled"
" Abdoulaye Faye","Senegal","2010/11","  - "," Senegal","DF",5,251,14,17.9285714285714,0.357142857142857,"Tackled"
" Abdoulaye Faye","Senegal","2013/14","  - "," Senegal","DF",NA,62,3,20.6666666666667,NA,"Tackled"
" Abdoulaye Faye","Senegal","2006/07","  - "," Senegal","DF",NA,818,32,25.5625,NA,"Tackled"
" Abdoulaye Méité","Cote D'Ivoire","2007/08","  - "," Cote D'Ivoire","DF",6,445,21,21.1904761904762,0.285714285714286,"Tackled"
" Abdoulaye Méité","Cote D'Ivoire","2008/09","  - "," Cote D'Ivoire","DF",2,412,18,22.8888888888889,0.111111111111111,"Tackled"
" Abdoulaye Méité","Cote D'Ivoire","2010/11","  - "," Cote D'Ivoire","DF",2,200,10,20,0.2,"Tackled"
" Abdoulaye Méité","Cote D'Ivoire","2006/07","  - "," Cote D'Ivoire","DF",NA,857,35,24.4857142857143,NA,"Tackled"
" Abdul Rahman Baba","Ghana","2015/16","  - "," Ghana","DF",15,526,15,35.0666666666667,1,"Tackled"
" Adam Drury","England","2011/12","  - "," England","DF",5,414,12,34.5,0.416666666666667,"Tackled"
" Adam Henley","Wales","2011/12","  - "," Wales","DF",4,123,7,17.5714285714286,0.571428571428571,"Tackled"
" Adam Matthews","Wales","2015/16","  - "," Wales","DF",1,13,1,13,1,"Tackled"
" Adam Smith","England","2011/12","  - "," England","DF",NA,11,1,11,NA,"Tackled"
" Adam Smith","England","2015/16"," AFC Bournemouth  "," England","DF",16,911,31,29.3870967741935,0.516129032258065,"Tackled"
" Adrián López","Spain","2010/11","  - "," Spain","DF",NA,31,1,31,NA,"Tackled"
" Adrián López","Spain","2011/12","  - "," Spain","DF",2,149,5,29.8,0.4,"Tackled"
" Adrián López","Spain","2012/13","  - "," Spain","DF",NA,145,5,29,NA,"Tackled"
" Adrian Mariappa","Jamaica","2012/13","  - "," Jamaica","DF",7,683,29,23.551724137931,0.241379310344828,"Tackled"
" Adrian Mariappa","Jamaica","2013/14","  - "," Jamaica","DF",5,585,24,24.375,0.208333333333333,"Tackled"
" Adrian Mariappa","Jamaica","2014/15","  - "," Jamaica","DF",4,240,12,20,0.333333333333333,"Tackled"
" Adrian Mariappa","Jamaica","2015/16","  - "," Jamaica","DF",3,117,3,39,1,"Tackled"
" Adrian Mariappa","Jamaica","2006/07","  - "," Jamaica","DF",NA,509,19,26.7894736842105,NA,"Tackled"
" Ahmed Elmohamady","Egypt","2010/11","  - "," Egypt","DF",18,1074,36,29.8333333333333,0.5,"Tackled"
" Ahmed Elmohamady","Egypt","2011/12","  - "," Egypt","DF",12,339,18,18.8333333333333,0.666666666666667,"Tackled"
" Ahmed Elmohamady","Egypt","2012/13","  - "," Egypt","DF",NA,10,2,5,NA,"Tackled"
" Ahmed Elmohamady","Egypt","2013/14"," Hull City  "," Egypt","DF",28,1751,38,46.0789473684211,0.736842105263158,"Tackled"
" Ahmed Elmohamady","Egypt","2014/15"," Hull City  "," Egypt","DF",36,1584,38,41.6842105263158,0.947368421052632,"Tackled"
" Alan Hutton","Scotland","2007/08","  - "," Scotland","DF",15,569,14,40.6428571428571,1.07142857142857,"Tackled"
" Alan Hutton","Scotland","2008/09","  - "," Scotland","DF",8,232,8,29,1,"Tackled"
" Alan Hutton","Scotland","2009/10","  - "," Scotland","DF",12,461,19,24.2631578947368,0.631578947368421,"Tackled"
" Alan Hutton","Scotland","2010/11","  - "," Scotland","DF",19,795,21,37.8571428571429,0.904761904761905,"Tackled"
" Alan Hutton","Scotland","2011/12","  - "," Scotland","DF",17,890,31,28.7096774193548,0.548387096774194,"Tackled"
" Alan Hutton","Scotland","2014/15","  - "," Scotland","DF",19,1117,30,37.2333333333333,0.633333333333333,"Tackled"
" Alan Hutton","Scotland","2015/16","  - "," Scotland","DF",8,843,28,30.1071428571429,0.285714285714286,"Tackled"
" Alan Stubbs","England","2007/08","  - "," England","DF",2,283,16,17.6875,0.125,"Tackled"
" Alan Stubbs","England","2006/07","  - "," England","DF",NA,661,23,28.7391304347826,NA,"Tackled"
" Alan Tate","England","2011/12","  - "," England","DF",NA,81,5,16.2,NA,"Tackled"
" Alan Tate","England","2012/13","  - "," England","DF",1,50,3,16.6666666666667,0.333333333333333,"Tackled"
" Alberto Moreno","Spain","2014/15"," Liverpool  "," Spain","DF",12,979,28,34.9642857142857,0.428571428571429,"Tackled"
" Alberto Moreno","Spain","2015/16"," Liverpool  "," Spain","DF",29,1323,32,41.34375,0.90625,"Tackled"
" Aleksandar Kolarov","Serbia","2010/11"," Manchester City  "," Serbia","DF",27,790,24,32.9166666666667,1.125,"Tackled"
" Aleksandar Kolarov","Serbia","2011/12"," Manchester City  "," Serbia","DF",2,445,12,37.0833333333333,0.166666666666667,"Tackled"
" Aleksandar Kolarov","Serbia","2012/13"," Manchester City  "," Serbia","DF",9,456,20,22.8,0.45,"Tackled"
" Aleksandar Kolarov","Serbia","2013/14"," Manchester City  "," Serbia","DF",14,1020,30,34,0.466666666666667,"Tackled"
" Aleksandar Kolarov","Serbia","2014/15"," Manchester City  "," Serbia","DF",12,813,21,38.7142857142857,0.571428571428571,"Tackled"
" Aleksandar Kolarov","Serbia","2015/16"," Manchester City  "," Serbia","DF",15,1361,29,46.9310344827586,0.517241379310345,"Tackled"
" Alex","Brazil","2007/08","  - "," Brazil","DF",5,733,28,26.1785714285714,0.178571428571429,"Tackled"
" Alex","Brazil","2008/09","  - "," Brazil","DF",4,857,24,35.7083333333333,0.166666666666667,"Tackled"
" Alex","Brazil","2009/10","  - "," Brazil","DF",1,596,16,37.25,0.0625,"Tackled"
" Alex","Brazil","2010/11","  - "," Brazil","DF",2,575,15,38.3333333333333,0.133333333333333,"Tackled"
" Alex","Brazil","2011/12","  - "," Brazil","DF",2,117,3,39,0.666666666666667,"Tackled"
" Alex Baptiste","England","2010/11","  - "," England","DF",10,661,21,31.4761904761905,0.476190476190476,"Tackled"
" Alex Bruce","Northern Ireland","2013/14","  - "," Northern Ireland","DF",1,460,20,23,0.05,"Tackled"
" Alex Bruce","Northern Ireland","2014/15","  - "," Northern Ireland","DF",1,389,22,17.6818181818182,0.0454545454545455,"Tackled"
" Alexander Buttner","Netherlands","2012/13","  - "," Netherlands","DF",8,170,5,34,1.6,"Tackled"
" Alexander Buttner","Netherlands","2013/14","  - "," Netherlands","DF",6,259,8,32.375,0.75,"Tackled"
" Álvaro Arbeloa","Spain","2007/08","  - "," Spain","DF",28,948,28,33.8571428571429,1,"Tackled"
" Álvaro Arbeloa","Spain","2008/09","  - "," Spain","DF",30,1289,29,44.448275862069,1.03448275862069,"Tackled"
" Álvaro Arbeloa","Spain","2006/07","  - "," Spain","DF",NA,308,9,34.2222222222222,NA,"Tackled"
" Aly Cissokho","France","2013/14","  - "," France","DF",5,435,15,29,0.333333333333333,"Tackled"
" Aly Cissokho","France","2014/15","  - "," France","DF",10,817,25,32.68,0.4,"Tackled"
" Aly Cissokho","France","2015/16","  - "," France","DF",4,647,18,35.9444444444444,0.222222222222222,"Tackled"
" André Bikey","Cameroon","2007/08","  - "," Cameroon","DF",13,313,22,14.2272727272727,0.590909090909091,"Tackled"
" André Bikey","Cameroon","2009/10","  - "," Cameroon","DF",37,721,28,25.75,1.32142857142857,"Tackled"
" André Bikey","Cameroon","2006/07","  - "," Cameroon","DF",NA,223,15,14.8666666666667,NA,"Tackled"
" André Ooijer","Netherlands","2007/08","  - "," Netherlands","DF",15,708,27,26.2222222222222,0.555555555555556,"Tackled"
" André Ooijer","Netherlands","2008/09","  - "," Netherlands","DF",18,982,32,30.6875,0.5625,"Tackled"
" André Ooijer","Netherlands","2006/07","  - "," Netherlands","DF",NA,728,20,36.4,NA,"Tackled"
" André Santos","Brazil","2011/12","  - "," Brazil","DF",17,778,15,51.8666666666667,1.13333333333333,"Tackled"
" André Santos","Brazil","2012/13","  - "," Brazil","DF",9,310,8,38.75,1.125,"Tackled"
" Andre Wisdom","England","2012/13","  - "," England","DF",9,488,12,40.6666666666667,0.75,"Tackled"
" Andre Wisdom","England","2013/14","  - "," England","DF",3,32,2,16,1.5,"Tackled"
" Andre Wisdom","England","2014/15","  - "," England","DF",19,888,24,37,0.791666666666667,"Tackled"
" Andre Wisdom","England","2015/16","  - "," England","DF",7,307,10,30.7,0.7,"Tackled"
" Andrea Dossena","Italy","2008/09","  - "," Italy","DF",9,464,16,29,0.5625,"Tackled"
" Andrea Dossena","Italy","2009/10","  - "," Italy","DF",2,24,2,12,1,"Tackled"
" Andrea Dossena","Italy","2013/14","  - "," Italy","DF",1,206,7,29.4285714285714,0.142857142857143,"Tackled"
" Andreas Granqvist","Sweden","2007/08","  - "," Sweden","DF",2,324,14,23.1428571428571,0.142857142857143,"Tackled"
" Andrew Davies","England","2007/08","  - "," England","DF",1,111,4,27.75,0.25,"Tackled"
" Andrew Davies","England","2008/09","  - "," England","DF",NA,7,2,3.5,NA,"Tackled"
" Andrew Davies","England","2006/07","  - "," England","DF",NA,676,23,29.3913043478261,NA,"Tackled"
" Andrew Robertson","Scotland","2014/15"," Hull City  "," Scotland","DF",10,642,24,26.75,0.416666666666667,"Tackled"
" Andrew Taylor","England","2007/08","  - "," England","DF",6,590,19,31.0526315789474,0.315789473684211,"Tackled"
" Andrew Taylor","England","2008/09","  - "," England","DF",15,799,26,30.7307692307692,0.576923076923077,"Tackled"
" Andrew Taylor","England","2013/14","  - "," England","DF",11,629,18,34.9444444444444,0.611111111111111,"Tackled"
" Andrew Taylor","England","2006/07","  - "," England","DF",NA,1225,34,36.0294117647059,NA,"Tackled"
" Andrew Todd","England","2007/08","  - "," England","DF",15,515,19,27.1052631578947,0.789473684210526,"Tackled"
" Andrew Todd","England","2006/07","  - "," England","DF",NA,227,9,25.2222222222222,NA,"Tackled"
" Andy Dawson","England","2008/09","  - "," England","DF",13,738,25,29.52,0.52,"Tackled"
" Andy Dawson","England","2009/10","  - "," England","DF",16,1242,35,35.4857142857143,0.457142857142857,"Tackled"
" Andy Griffin","England","2007/08","  - "," England","DF",8,463,15,30.8666666666667,0.533333333333333,"Tackled"
" Andy Griffin","England","2008/09","  - "," England","DF",5,425,20,21.25,0.25,"Tackled"
" Andy O'Brien","Ireland","2007/08","  - "," Ireland","DF",8,563,32,17.59375,0.25,"Tackled"
" Andy O'Brien","Ireland","2008/09","  - "," Ireland","DF",7,703,34,20.6764705882353,0.205882352941176,"Tackled"
" Andy O'Brien","Ireland","2009/10","  - "," Ireland","DF",NA,127,6,21.1666666666667,NA,"Tackled"
" Andy O'Brien","Ireland","2010/11","  - "," Ireland","DF",NA,6,2,3,NA,"Tackled"
" Andy O'Brien","Ireland","2006/07","  - "," Ireland","DF",NA,19,3,6.33333333333333,NA,"Tackled"
" Andy Wilkinson","England","2008/09","  - "," England","DF",6,341,22,15.5,0.272727272727273,"Tackled"
" Andy Wilkinson","England","2009/10","  - "," England","DF",13,489,25,19.56,0.52,"Tackled"
" Andy Wilkinson","England","2010/11","  - "," England","DF",16,428,22,19.4545454545455,0.727272727272727,"Tackled"
" Andy Wilkinson","England","2011/12","  - "," England","DF",17,423,25,16.92,0.68,"Tackled"
" Andy Wilkinson","England","2012/13","  - "," England","DF",10,453,24,18.875,0.416666666666667,"Tackled"
" Andy Wilkinson","England","2013/14","  - "," England","DF",1,86,5,17.2,0.2,"Tackled"
" Angel Rangel","Spain","2011/12"," Swansea City  "," Spain","DF",18,2273,34,66.8529411764706,0.529411764705882,"Tackled"
" Angel Rangel","Spain","2012/13"," Swansea City  "," Spain","DF",13,1842,33,55.8181818181818,0.393939393939394,"Tackled"
