"name","info","season","club","nation.","pass","app","pos.","avg_pass"
" Aaron Doran","Ireland","2008/09","  - "," Ireland",25,3,"FW",8.33333333333333
" Aaron McLean","England","2013/14","  - "," England",1,1,"FW",1
" Aaron Wilbraham","England","2011/12","  - "," England",99,11,"FW",9
" Aaron Wilbraham","England","2013/14","  - "," England",36,4,"FW",9
" Abel Hernández","Uruguay","2014/15"," Hull City  "," Uruguay",299,25,"FW",11.96
" Adam Armstrong","England","2013/14","  - "," England",12,4,"FW",3
" Adam Armstrong","England","2014/15","  - "," England",51,11,"FW",4.63636363636364
" Adam Campbell","England","2012/13","  - "," England",9,3,"FW",3
" Adam Le Fondre","England","2012/13","  - "," England",258,34,"FW",7.58823529411765
" Ade Akinbiyi","Nigeria","2006/07","  - "," Nigeria",45,3,"FW",15
" Afonso Alves","Brazil","2007/08","  - "," Brazil",123,11,"FW",11.1818181818182
" Afonso Alves","Brazil","2008/09","  - "," Brazil",518,31,"FW",16.7096774193548
" Albert Luque","Spain","2006/07","  - "," Spain",29,7,"FW",4.14285714285714
" Alberto Paloschi","Italy","2015/16","  - "," Italy",199,10,"FW",19.9
" Aleksandar Mitrovic","Serbia","2015/16","  - "," Serbia",721,34,"FW",21.2058823529412
" Alessandro Diamanti","Italy","2009/10","  - "," Italy",754,27,"FW",27.9259259259259
" Alessandro Diamanti","Italy","2010/11","  - "," Italy",9,1,"FW",9
" Alessandro Diamanti","Italy","2015/16","  - "," Italy",51,3,"FW",17
" Alex Nimely","England","2009/10","  - "," England",4,1,"FW",4
" Alexandre Pato","Brazil","2015/16","  - "," Brazil",27,2,"FW",13.5
" Alexis Sánchez","Chile","2014/15"," Arsenal  "," Chile",1469,35,"FW",41.9714285714286
" Alexis Sánchez","Chile","2015/16"," Arsenal  "," Chile",1434,30,"FW",47.8
" Álvaro Negredo","Spain","2013/14","  - "," Spain",554,32,"FW",17.3125
" Álvaro Vázquez","Spain","2013/14","  - "," Spain",108,12,"FW",9
" Amr Zaki","Egypt","2008/09","  - "," Egypt",628,29,"FW",21.6551724137931
" Amr Zaki","Egypt","2009/10","  - "," Egypt",81,6,"FW",13.5
" André Ayew","Ghana","2015/16","  - "," Ghana",1056,34,"FW",31.0588235294118
" Andre Green","England","2015/16","  - "," England",23,2,"FW",11.5
" Andreas Cornelius","Denmark","2013/14","  - "," Denmark",30,8,"FW",3.75
" Andreas Weimann","Austria","2010/11","  - "," Austria",3,1,"FW",3
" Andreas Weimann","Austria","2011/12","  - "," Austria",127,14,"FW",9.07142857142857
" Andreas Weimann","Austria","2012/13","  - "," Austria",674,30,"FW",22.4666666666667
" Andreas Weimann","Austria","2013/14","  - "," Austria",725,37,"FW",19.5945945945946
" Andreas Weimann","Austria","2014/15","  - "," Austria",579,31,"FW",18.6774193548387
" Andrej Kramaric","Croatia","2014/15","  - "," Croatia",185,13,"FW",14.2307692307692
" Andrej Kramaric","Croatia","2015/16","  - "," Croatia",11,2,"FW",5.5
" Andrew Cole","England","2006/07","  - "," England",151,18,"FW",8.38888888888889
" Andrew Cole","England","2007/08","  - "," England",56,7,"FW",8
" Andrew Johnson","England","2006/07","  - "," England",498,32,"FW",15.5625
" Andrew Johnson","England","2007/08","  - "," England",340,29,"FW",11.7241379310345
" Andrew Johnson","England","2008/09","  - "," England",567,31,"FW",18.2903225806452
" Andrew Johnson","England","2009/10","  - "," England",127,8,"FW",15.875
" Andrew Johnson","England","2010/11","  - "," England",341,27,"FW",12.6296296296296
" Andrew Johnson","England","2011/12","  - "," England",310,20,"FW",15.5
" Andrew Johnson","England","2012/13","  - "," England",43,3,"FW",14.3333333333333
" Andrey Voronin","Ukraine","2007/08","  - "," Ukraine",328,19,"FW",17.2631578947368
" Andrey Voronin","Ukraine","2009/10","  - "," Ukraine",108,8,"FW",13.5
" Andriy Shevchenko","Ukraine","2006/07","  - "," Ukraine",455,30,"FW",15.1666666666667
" Andriy Shevchenko","Ukraine","2007/08","  - "," Ukraine",202,17,"FW",11.8823529411765
" Andriy Shevchenko","Ukraine","2009/10","  - "," Ukraine",5,1,"FW",5
" Andy Carroll","England","2006/07","  - "," England",44,4,"FW",11
" Andy Carroll","England","2007/08","  - "," England",50,4,"FW",12.5
" Andy Carroll","England","2008/09","  - "," England",159,14,"FW",11.3571428571429
" Andy Carroll","England","2010/11","  - "," England",775,26,"FW",29.8076923076923
" Andy Carroll","England","2011/12","  - "," England",730,35,"FW",20.8571428571429
" Andy Carroll","England","2012/13","  - "," England",698,26,"FW",26.8461538461538
" Andy Carroll","England","2013/14"," West Ham United  "," England",403,15,"FW",26.8666666666667
" Andy Carroll","England","2014/15"," West Ham United  "," England",365,14,"FW",26.0714285714286
" Andy Carroll","England","2015/16"," West Ham United  "," England",435,27,"FW",16.1111111111111
" Andy Keogh","Ireland","2009/10","  - "," Ireland",209,13,"FW",16.0769230769231
